Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2013-02-21,0.417857,0.257143,0.325,1.0,0.445366875,0.09285699999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,1530.94,1511.41,1511.95
2013-02-28,0.283912,0.350158,0.365931,1.0000010000000001,0.43246875,-0.08201900000000001,0.38024456793632855,0.4808905717049035,0.2795985641677536,1530.94,1485.01,1515.99
2013-03-07,0.310559,0.304348,0.385093,1.0,0.4132265,-0.07453400000000004,0.38024456793632855,0.4808905717049035,0.2795985641677536,1545.25,1485.01,1541.46
2013-03-14,0.4542,0.2255,0.3203,1.0,0.41507187500000003,0.13390000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,1556.77,1541.46,1554.52
2013-03-21,0.389439,0.277228,0.333333,0.9999999999999999,0.39832775000000004,0.05610599999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,1563.62,1538.57,1558.71
2013-03-28,0.383954,0.329513,0.286533,1.0,0.386266125,0.09742100000000004,0.38024456793632855,0.4808905717049035,0.2795985641677536,1564.91,1538.57,1562.85
2013-04-04,0.35493,0.36338,0.28169,1.0,0.37717325,0.07324000000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1573.66,1546.22,1553.69
2013-04-11,0.193103,0.262069,0.544828,1.0,0.34849424999999995,-0.35172499999999995,0.38024456793632855,0.4808905717049035,0.2795985641677536,1589.07,1539.5,1587.73
2013-04-18,0.268493,0.249315,0.482192,1.0,0.32982374999999997,-0.21369900000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1597.35,1543.69,1552.01
2013-04-25,0.282895,0.328947,0.388158,1.0,0.32969662499999997,-0.105263,0.38024456793632855,0.4808905717049035,0.2795985641677536,1583.0,1536.03,1578.79
2013-05-02,0.309859,0.330986,0.359155,1.0,0.329609125,-0.049296000000000006,0.38024456793632855,0.4808905717049035,0.2795985641677536,1597.57,1562.5,1582.7
2013-05-09,0.407942,0.31769,0.274368,1.0,0.32382687499999996,0.13357400000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1632.78,1581.28,1632.69
2013-05-16,0.384858,0.321767,0.293375,1.0,0.32325425,0.09148299999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1661.49,1616.64,1658.78
2013-05-23,0.489726,0.294521,0.215753,0.9999999999999999,0.33647575,0.273973,0.38024456793632855,0.4808905717049035,0.2795985641677536,1687.18,1633.75,1655.35
2013-05-30,0.359684,0.343874,0.296443,1.0000010000000001,0.33707,0.06324099999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,1663.52,1636.42,1648.36
2013-06-06,0.294737,0.315789,0.389474,1.0,0.34977425,-0.09473699999999996,0.38024456793632855,0.4808905717049035,0.2795985641677536,1674.21,1607.09,1608.9
2013-06-13,0.32973,0.324324,0.345946,1.0,0.35742887500000003,-0.016215999999999953,0.38024456793632855,0.4808905717049035,0.2795985641677536,1648.69,1598.23,1612.52
2013-06-20,0.374532,0.325843,0.299625,1.0,0.36888350000000003,0.074907,0.38024456793632855,0.4808905717049035,0.2795985641677536,1654.19,1608.07,1628.93
2013-06-27,0.302752,0.345566,0.351682,1.0,0.367995125,-0.048929999999999974,0.38024456793632855,0.4808905717049035,0.2795985641677536,1654.19,1560.33,1603.26
2013-07-04,0.419929,0.341637,0.238434,1.0,0.36949350000000003,0.181495,0.38024456793632855,0.4808905717049035,0.2795985641677536,1632.07,1592.27,1631.89
2013-07-11,0.489362,0.32766,0.182979,1.0000010000000001,0.38255649999999997,0.306383,0.38024456793632855,0.4808905717049035,0.2795985641677536,1657.92,1604.57,1652.62
2013-07-18,0.477352,0.310105,0.212544,1.0000010000000001,0.3810097499999999,0.264808,0.38024456793632855,0.4808905717049035,0.2795985641677536,1684.75,1642.89,1680.91
2013-07-25,0.451178,0.323232,0.225589,0.9999990000000001,0.3924465,0.225589,0.38024456793632855,0.4808905717049035,0.2795985641677536,1698.78,1671.84,1685.94
2013-08-01,0.356164,0.393836,0.25,1.0,0.40012487500000005,0.10616399999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1698.78,1676.03,1685.73
2013-08-08,0.394984,0.338558,0.266458,1.0,0.40828162500000004,0.12852600000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1709.67,1682.42,1690.91
2013-08-15,0.34507,0.373239,0.28169,0.999999,0.404598875,0.06337999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,1705.79,1682.62,1685.39
2013-08-22,0.289575,0.281853,0.428571,0.9999990000000001,0.40295175000000005,-0.13899599999999995,0.38024456793632855,0.4808905717049035,0.2795985641677536,1696.81,1639.43,1642.8
